web-scraper-order,web-scraper-start-url,athlete,athlete-href,opponent1,winLoss,method,competition,weight,stage,year,name,opponent2
"1592276293-7245","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Henrique Cardoso","L","Choke from back","Brasileiro","88KG","4F","2019","Ruan de Oliveira","Henrique Cardoso"
"1592276187-6708","https://www.bjjheroes.com/a-z-bjj-fighters-list","Amal","https://www.bjjheroes.com/?p=6481","","","","","","","","Amal Easton",""
"1592276298-7252","https://www.bjjheroes.com/a-z-bjj-fighters-list","Chris","https://www.bjjheroes.com/?p=6395","Unknown","W","RNC","Grapplers Quest","70KG","N/A","2009","Chris Holdsworth","RNC"
"1592276126-6595","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Aleksei Oleinik","W","Kneebar","Quintet Ultra","ABS","SPF","2019","Gordon Ryan","null"
"1592276265-7037","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","AJ Agazarm","L","Pts: 2x0","World Pro","77KG","R1","2016","Kevin Mahecha","AJ Agazarm"
"1592275965-6058","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Charles McGuire","W","Points","Chicago SM Open","O100KG","F","2018","Max Gimenis","null"
"1592275774-5779","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Paulo Miyao","L","Choke from back","Grand Slam AD","69KG","F","2019","Tiago Bravo","Paulo Miyao"
"1592276126-6573","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Evangelous Moumtzis","W","Armbar","NoGi Worlds","O97KG","R1","2018","Gordon Ryan","Armbar"
"1592275724-5666","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Igor Ferreira","W","RNC","Brasileiro Equipes","76KG","SF","2016","Breno Bittencourt","RNC"
"1592275965-6063","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Gordon Ryan","L","RNC","No Gi Pan Am.","O97KG","F","2018","Max Gimenis","Gordon Ryan"
"1592276107-6382","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Josh Hinger","L","DQ","Am. Nat. NoGi","82KG","SF","2014","Francisco Iturralde","Josh Hinger"
"1592276084-6276","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Paulo Henrique","W","Pts: 4x2","Brasileiro","76KG","R1","2018","Jhonny Loureiro","null"
"1592276097-6315","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Felipe Pena","L","Injury","World Pro","ABS","4F","2016","Dany Gerard","Felipe Pena"
"1592275774-5770","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Paulo Miyao","L","Pts: 5x0","Grand Slam AD","69KG","F","2018","Tiago Bravo","Paulo Miyao"
"1592275947-5961","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","R. Evangelista","W","Pts: 2x2, Adv","Grand Slam RJ","110KG","SF","2018","Fernando Reis","R. Evangelista"
"1592275874-5863","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Gianni Grippo","L","Referee Decision","FIVE Super League","70KG","F","2017","Jamil Hill-Taylor","Gianni Grippo"
"1592276293-7248","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Murilo Santana","W","Pts: 0x0, Adv","World Champ.","88KG","R1","2019","Ruan de Oliveira","Murilo Santana"
"1592275700-5576","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Jason Hayden","W","Inside heel hook","Sapateiro Inv.","ABS","SF","2016","Enrico Cocco","Inside heel hook"
"1592276311-7267","https://www.bjjheroes.com/a-z-bjj-fighters-list","Evandro","https://www.bjjheroes.com/?p=6324","Rodrigo Freitas","W","Kneebar","American Nat.","ABS","4F","2015","Evandro Nunes","Rodrigo Freitas"
"1592276293-7168","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Gustavo Adolfo","L","Wristlock","Grand Slam RJ","94KG","SF","2015","Ruan de Oliveira","null"
"1592276245-6942","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Edwin Najmi","L","Pts: 2x0","World Pro","77KG","SF","2017","Jonathan Satava","Edwin Najmi"
